Postcode,City_name,AVERAGE_INCOME,MEDIAN_INCOME
3500,Hasselt,35091,26519
3051,Hasselt,35091,26519
3511,Hasselt,35091,26519
3550,Heusden-Zolder,33007,26063
3580,Beringen,32906,26548
3582,Beringen,32906,26548
3590,Diepenbeek,35336,27504
3600,Genk,30054,23456
3640,Kinrooi,31439,26162
3650,Dilem-Stokkem,31412,25786
3660,Oudsbergen,33643,27519
3668,As,34131,26422
3670,Oudsbergen,33643,27519
3680,Maaseik,32311,25716
3910,Pelt,33521,27503
3930,Hamont-Achel,30998,25776
3950,Bocholt,31381,26564
3960,Bree,32371,26294
